step,wall_time_s,metric,value
0,60.927,eval/walltime,49.32049751281738
0,60.927,eval/episode_reward,36.730133056640625
0,60.927,eval/episode_reward/ctrl,-0.23837026953697205
0,60.927,eval/episode_reward/forward,342.56439208984375
0,60.927,eval/episode_reward/joint,-0.11738517135381699
0,60.927,eval/episode_reward/orient,-305.47857666015625
0,60.927,eval/episode_reward/total,36.730133056640625
0,60.927,eval/episode_state/forward_vel,1.6048328876495361
0,60.927,eval/episode_state/up_z,630.2447509765625
0,60.927,eval/episode_reward_std,850.8289794921875
0,60.927,eval/episode_reward/ctrl_std,0.0036140107549726963
0,60.927,eval/episode_reward/forward_std,27.44900894165039
0,60.927,eval/episode_reward/joint_std,0.004383007995784283
0,60.927,eval/episode_reward/orient_std,854.2405395507812
0,60.927,eval/episode_reward/total_std,850.8289794921875
0,60.927,eval/episode_state/forward_vel_std,16.536548614501953
0,60.927,eval/episode_state/up_z_std,381.7674255371094
0,60.927,eval/avg_episode_length,1000.0
0,60.927,eval/std_episode_length,0.0
0,60.927,eval/epoch_eval_time,49.32049751281738
0,60.927,eval/sps,648.8174615773869
524288,150.604,episode/sps,3625.365777073754
524288,150.604,episode/length,1000.0
524288,150.604,episode/reward/ctrl,-0.2375764286518097
524288,150.604,episode/reward/forward,348.6362335205078
524288,150.604,episode/reward/joint,-0.11491585180163383
524288,150.604,episode/reward/orient,-454.67383632659914
524288,150.604,episode/reward/total,-106.39004318237305
524288,150.604,episode/state/forward_vel,5.451813605129718
524288,150.604,episode/state/up_z,563.6802639770508
524288,150.604,episode/sum_reward,-106.39004318237305
524288,150.604,episode/entropy_loss,-0.11497140116989613
524288,150.604,episode/kl_mean,3.117026522755623
524288,150.604,episode/learning_rate,0.0003000000142492354
524288,150.604,episode/policy_dist_max_loc,1.1195981297641993
524288,150.604,episode/policy_dist_max_std,1.314858891069889
524288,150.604,episode/policy_dist_mean_loc,0.00645120679109823
524288,150.604,episode/policy_dist_mean_std,0.6926049198955297
524288,150.604,episode/policy_dist_min_loc,-1.1203693114221096
524288,150.604,episode/policy_dist_min_std,0.2705545914359391
524288,150.604,episode/policy_loss,0.27091187285259366
524288,150.604,episode/total_loss,69.0130306482315
524288,150.604,episode/v_loss,68.85708963871002
524288,195.706,eval/walltime,94.40005373954773
524288,195.706,training/sps,5846.5186547064095
524288,195.706,training/walltime,89.6752462387085
524288,195.706,training/entropy_loss,-0.11497139930725098
524288,195.706,training/kl_mean,3.1170263290405273
524288,195.706,training/learning_rate,0.0003000000142492354
524288,195.706,training/policy_dist_max_loc,1.119598150253296
524288,195.706,training/policy_dist_max_std,1.3148589134216309
524288,195.706,training/policy_dist_mean_loc,0.006451206747442484
524288,195.706,training/policy_dist_mean_std,0.6926048994064331
524288,195.706,training/policy_dist_min_loc,-1.1203693151474
524288,195.706,training/policy_dist_min_std,0.2705546021461487
524288,195.706,training/policy_loss,0.2709118723869324
524288,195.706,training/total_loss,69.01303100585938
524288,195.706,training/v_loss,68.85708618164062
524288,195.706,eval/episode_reward,-228.0525665283203
524288,195.706,eval/episode_reward/ctrl,-0.22396209836006165
524288,195.706,eval/episode_reward/forward,341.509765625
524288,195.706,eval/episode_reward/joint,-0.0711631029844284
524288,195.706,eval/episode_reward/orient,-569.267333984375
524288,195.706,eval/episode_reward/total,-228.0525665283203
524288,195.706,eval/episode_state/forward_vel,1.3700201511383057
524288,195.706,eval/episode_state/up_z,482.35003662109375
524288,195.706,eval/episode_reward_std,1004.565185546875
524288,195.706,eval/episode_reward/ctrl_std,0.0031683319248259068
524288,195.706,eval/episode_reward/forward_std,27.52932357788086
524288,195.706,eval/episode_reward/joint_std,0.008118483237922192
524288,195.706,eval/episode_reward/orient_std,999.5167236328125
524288,195.706,eval/episode_reward/total_std,1004.565185546875
524288,195.706,eval/episode_state/forward_vel_std,16.99919891357422
524288,195.706,eval/episode_state/up_z_std,464.653564453125
524288,195.706,eval/avg_episode_length,1000.0
524288,195.706,eval/std_episode_length,0.0
524288,195.706,eval/epoch_eval_time,45.07955622673035
524288,195.706,eval/sps,709.8561449685545
1048576,280.080,episode/sps,4049.2946365975945
1048576,280.080,episode/length,1000.0
1048576,280.080,episode/reward/ctrl,-0.2241964827477932
1048576,280.080,episode/reward/forward,343.26893920898436
1048576,280.080,episode/reward/joint,-0.07090152330696582
1048576,280.080,episode/reward/orient,-660.9814105606079
1048576,280.080,episode/reward/total,-318.0076552963257
1048576,280.080,episode/state/forward_vel,2.130922620892525
1048576,280.080,episode/state/up_z,417.90401964187623
1048576,280.080,episode/sum_reward,-318.0076552963257
1048576,280.080,episode/entropy_loss,-0.1146759761031717
1048576,280.080,episode/kl_mean,1.702616621274501
1048576,280.080,episode/learning_rate,0.0003000000142492354
1048576,280.080,episode/policy_dist_max_loc,0.9871728140860796
1048576,280.080,episode/policy_dist_max_std,1.2912386860698462
1048576,280.080,episode/policy_dist_mean_loc,0.006484075071057305
1048576,280.080,episode/policy_dist_mean_std,0.6936320383101702
1048576,280.080,episode/policy_dist_min_loc,-0.9945346927270293
1048576,280.080,episode/policy_dist_min_std,0.3119026350323111
1048576,280.080,episode/policy_loss,0.19620190595742315
1048576,280.080,episode/total_loss,90.33863800764084
1048576,280.080,episode/v_loss,90.25711184740067
1048576,312.679,eval/walltime,126.9750452041626
1048576,312.679,training/sps,6213.364000915409
1048576,312.679,training/walltime,174.05594563484192
1048576,312.679,training/entropy_loss,-0.11438055336475372
1048576,312.679,training/kl_mean,0.28820672631263733
1048576,312.679,training/learning_rate,0.0003000000142492354
1048576,312.679,training/policy_dist_max_loc,0.8547475337982178
1048576,312.679,training/policy_dist_max_std,1.2676184177398682
1048576,312.679,training/policy_dist_mean_loc,0.006516943220049143
1048576,312.679,training/policy_dist_mean_std,0.6946591138839722
1048576,312.679,training/policy_dist_min_loc,-0.8687000274658203
1048576,312.679,training/policy_dist_min_std,0.3532506823539734
1048576,312.679,training/policy_loss,0.121491938829422
1048576,312.679,training/total_loss,111.66424560546875
1048576,312.679,training/v_loss,111.65713500976562
1048576,312.679,eval/episode_reward,-240.4991455078125
1048576,312.679,eval/episode_reward/ctrl,-0.22020405530929565
1048576,312.679,eval/episode_reward/forward,336.34033203125
1048576,312.679,eval/episode_reward/joint,-0.057221319526433945
1048576,312.679,eval/episode_reward/orient,-576.5618896484375
